Building,Bed,Bath,Study,Floor Plan,URL,Floor Plan Viewer,SF,Orientation,Unit Numbers,Quantity,
Sabine on 5th,1,1,FALSE,PLAN K,https://drive.google.com/file/d/1rMsqwtH1BF8BBWBRHA28DsXZ8D3qikKY/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1rMsqwtH1BF8BBWBRHA28DsXZ8D3qikKY,729,,,,
Sabine on 5th,1,1,FALSE,PLAN M,https://drive.google.com/file/d/1waX9EZFjUpyjg6LRRk329ONNnt7YxQ19/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1waX9EZFjUpyjg6LRRk329ONNnt7YxQ19,923,,,,
Sabine on 5th,1,1,FALSE,PLAN P,https://drive.google.com/file/d/1b0__NXxbtFYvqSeaBqBgjUyy6hHcnbgi/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1b0__NXxbtFYvqSeaBqBgjUyy6hHcnbgi,734,,,,
Sabine on 5th,1,1,FALSE,PLAN R,https://drive.google.com/file/d/1087qqygkGxLTR-M2-OioTz8UlCieTK1M/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1087qqygkGxLTR-M2-OioTz8UlCieTK1M,711,,,,
Sabine on 5th,1,1,FALSE,PLAN S,,#N/A,744,,,,
Sabine on 5th,2,2,FALSE,PLAN A,https://drive.google.com/file/d/1o1m-H-dXApMKjY6murj0jMmXLmo0YgCo/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1o1m-H-dXApMKjY6murj0jMmXLmo0YgCo,"1,454",,,,
Sabine on 5th,2,2,FALSE,PLAN E,,#N/A,,,,,
Sabine on 5th,2,2,FALSE,PLAN G,https://drive.google.com/file/d/1UDpwgSNfiW7zPnhE8__4HSdE9WRuZMiB/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1UDpwgSNfiW7zPnhE8__4HSdE9WRuZMiB,"1,426",,,,
Sabine on 5th,2,2,FALSE,PLAN L – H.C,https://drive.google.com/file/d/1U8Btd0JMesLAgXFQsnC39l5ypU8vXdMh/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1U8Btd0JMesLAgXFQsnC39l5ypU8vXdMh,"1,462",,,,
Sabine on 5th,2,2,FALSE,PLAN N,https://drive.google.com/file/d/19R7rox1WBPfC8-xcY31fNqcpOelqDLLX/view?usp=drive_link,https://drive.google.com/uc?export=view&id=19R7rox1WBPfC8-xcY31fNqcpOelqDLLX,"1,419",,,,
Sabine on 5th,2,2,FALSE,PLAN Q,https://drive.google.com/file/d/1HoplfWm5GNHF8-7DHGhBF_kDHrbOsOgK/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1HoplfWm5GNHF8-7DHGhBF_kDHrbOsOgK,"1,460",,,,
Vesper,1,1,FALSE,A1,https://drive.google.com/file/d/1SXlPZ7EGlRoguUjJDENNK0e0j25Wf8XX/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1SXlPZ7EGlRoguUjJDENNK0e0j25Wf8XX,667,,,,
